Sample,24.CB,27.CB,29.CB,31.CB,32.CB,33.CB,34.CB,35.CB,36.CB,37.CB,38.CB,39.CB
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46;f__,0,0,0,0,0,0,0,0,30,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae,0,0,0,0,0,0,0,0,0,30,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae,27,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Thermicanaceae],0,0,54,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__,0,0,0,0,0,0,0,0,54,0,0,0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;__;__,26,18,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales;f__Natranaerobiaceae,0,0,0,0,0,0,0,21,0,0,0,0
k__Bacteria;p__Firmicutes;__;__;__,0,0,0,0,0,0,0,0,0,0,0,20
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae,19,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,0,0,17,0,0,0,0,0,0,0,0,11
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae,0,0,0,0,0,0,0,0,0,0,0,17
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;__,0,0,0,0,0,12,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae,0,0,0,0,0,0,0,0,12,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,0,0,10,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae,0,0,0,9,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae,0,6,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__,0,0,0,0,0,0,0,10,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;__,0,0,0,0,0,0,0,0,6,0,0,0
k__Bacteria;p__Actinobacteria;__;__;__,0,0,0,0,0,0,0,0,3,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;__,0,0,0,0,0,0,0,0,2,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae,0,0,0,0,0,0,0,0,2,0,0,0
